trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
72,0,72,0,132.528496599989,,132.5094399000518,132.528496599989,133.5305225001648,133.5305225001648,133.7828852001112,up,0,0.2230346999131143,None,-1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
73,0,73,0,133.81179250008427,,133.7967221001163,133.81179250008427,134.8152280000504,134.8152280000504,135.3080961999949,up,0,0.48576020007021725,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
74,0,74,0,135.34548490005545,,135.3227303000167,135.34548490005545,136.3309231000021,136.3477619001642,136.76809060014784,up,1,0.42389329988509417,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
75,0,75,0,136.8108654001262,,136.7816373000387,136.8108654001262,137.77932259999216,137.8292909001466,138.28523100004531,up,0,0.49479369982145727,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
76,0,76,0,138.32722069998272,,138.29721620003693,138.32722069998272,139.31073410017416,139.32952719996683,139.8375618001446,up,1,0.5144396000541747,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
77,0,77,0,139.87737870006822,,139.8581167999655,139.87737870006822,140.86290069995448,140.87887999997474,141.43540520011447,up,1,0.5656195001211017,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
78,0,78,0,141.4774311000947,,141.45133690000512,141.4774311000947,142.46093269996345,142.47964880010113,143.56882010004483,up,0,1.097578499931842,None,4,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
79,0,79,0,143.61043800017796,,143.58311860007234,143.61043800017796,144.59481710009277,144.61156480014324,145.42021080013365,up,1,0.8184032998979092,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
80,0,80,0,145.46068030013703,,145.4361239001155,145.46068030013703,146.4623720999807,146.4623720999807,148.10396239999682,up,0,1.6297490999568254,None,2,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
81,0,81,0,148.1435673001688,,148.1202943001408,148.1435673001688,149.12816950003617,149.14585520001128,149.9004271000158,up,1,0.7533183000050485,None,0,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
82,0,82,0,149.92679080017842,,149.91351720015518,149.92679080017842,150.9117265001405,150.92817700002342,154.73002180014737,up,0,3.8096382999792695,None,1,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
83,0,83,0,154.7584504999686,,154.73569020000286,154.7584504999686,155.75979449995793,155.77948180004023,161.73245440004393,up,0,5.965424700174481,None,3,721043,001,2024-10-11_11h21.34.051,Exp_4,2024.1.5,None,2024-10-11 11h21.48.681050 +0530,
